Instances,Source,feature_n_tours,feature_n_legs,feature_n_position_used,feature_drive_min,feature_drive_max,feature_drive_mean,feature_drive_median,feature_drive_std,feature_drive_first_quantile,feature_drive_third_quartile,feature_diff_min,feature_diff_max,feature_diff_mean,feature_diff_median,feature_diff_std,feature_diff_first_quantile,feature_diff_third_quartile,feature_max_active_buses,feature_average_distance,feature_huge,feature_large,feature_medium,feature_small,feature_tiny,feature_max_num_legs_per_tour,feature_min_num_legs_per_tour,feature_mean_num_legs_per_tour,feature_median_num_legs_per_tour,feature_std_num_legs_per_tour,feature_1st_quantile_num_legs_per_tour,feature_3rd_quantile_num_legs_per_tour,feature_max_total_time_per_tour,feature_min_total_time_per_tour,feature_mean_total_time_per_tour,feature_median_total_time_per_tour,feature_std_total_time_per_tour,feature_1st_quantile_total_time_per_tour,feature_3rd_quantile_total_time_per_tour,feature_max_number_breaks_per_tour,feature_min_number_breaks_per_tour,feature_mean_number_breaks_per_tour,feature_median_number_breaks_per_tour,feature_std_number_breaks_per_tour,feature_1st_quantile_number_breaks_per_tour,feature_3rd_quantile_number_breaks_per_tour,feature_max_number_of_proper_breaks_per_tour,feature_min_number_of_proper_breaks_per_tour,feature_mean_number_of_proper_breaks_per_tour,feature_median_number_of_proper_breaks_per_tour,feature_std_number_of_proper_breaks_per_tour,feature_1st_quantile_number_of_proper_breaks_per_tour,feature_3rd_quantile_number_of_proper_breaks_per_tour,feature_max_proportion_of_large_legs_per_tour,feature_min_proportion_of_large_legs_per_tour,feature_mean_proportion_of_large_legs_per_tour,feature_median_proportion_of_large_legs_per_tour,feature_std_proportion_of_large_legs_per_tour,feature_1st_quantile_proportion_of_large_legs_per_tour,feature_3rd_quantile_proportion_of_large_legs_per_tour,feature_min_max_rro,feature_max_max_rro,feature_mean_max_rro,feature_median_max_rro,feature_std_max_rro,feature_min_min_rro,feature_max_min_rro,feature_mean_min_rro,feature_median_min_rro,feature_std_min_rro,feature_min_mean_rro,feature_max_mean_rro,feature_mean_mean_rro,feature_median_mean_rro,feature_std_mean_rro,feature_min_median_rro,feature_max_median_rro,feature_mean_median_rro,feature_median_median_rro,feature_std_median_rro,feature_min_std_rro,feature_max_std_rro,feature_mean_std_rro,feature_median_std_rro,feature_std_std_rro,algo_CMSA,algo_LNS
breakMax_250_1,breakMax,794,2034,45,25,51,35.3579154375615,35.0,8.43785302073552,27,42,0,10,9.44584382871537,10.0,2.28789699302077,10,10,2034,185.15950617284,1.0,0.0,0.0,0.0,0,4,1,2.56171284634761,2.0,0.794721305117249,2.0,3.0,176,30,106.19395465995,89.0,38.5243246619314,73.0,141.0,3,0,1.56171284634761,1.0,0.794721305117249,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,2,95,6.91111111111111,5.0,13.351358186795,0,3,0.133333333333333,0.0,0.498887651569859,0.6875,49.625,2.84025682922742,1.8,7.07544295427913,0.5,48.5,2.61111111111111,1.5,6.9521290814708,0.618241233033047,29.9580435776437,2.00546427338014,1.44562918827755,4.22764955192979,343546.8,322585.8
breakMax_250_2,breakMax,785,1689,68,22,56,37.4061574896388,37.0,10.7049723666203,28,47,0,8,5.87006369426752,8.0,3.53593859949272,0,8,1689,154.950692041523,1.0,0.0,0.0,0.0,0,5,1,2.1515923566879,2.0,0.935472570077996,1.0,3.0,189,30,89.6955414012739,78.0,40.6466556688687,55.0,135.0,4,0,1.1515923566879,1.0,0.935472570077996,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,123,4.55882352941176,3.0,14.5079920702361,0,3,0.073529411764706,0.0,0.395421460580846,0.294117647058823,43.6111111111111,1.56939022462493,0.911111111111111,5.14802800676636,0.0,33.5,1.27205882352941,1.0,3.96717582122847,0.0,30.7519446338834,1.3268230298839,0.864896294426134,3.60688609377477,300128.4,269622.0
breakMax_250_3,breakMax,766,1554,18,27,51,35.2567567567568,33.0,7.85439216141262,27,42,0,14,10.6919060052219,14.0,5.94725399227292,14,14,1554,226.450617283951,1.0,0.0,0.0,0.0,0,4,1,2.02872062663185,2.0,0.743437912527616,2.0,2.0,182,30,85.9281984334204,81.0,38.5319549817785,69.0,94.0,3,0,1.02872062663185,1.0,0.743437912527616,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,5,136,14.8333333333333,7.5,29.4641967290624,0,7,0.5,0.0,1.60727512683216,1.52941176470588,45.0588235294118,5.09177559912854,2.75,9.72039916037549,1.0,25.0,3.44444444444444,2.0,5.27016995532637,1.14366012324845,36.5053913636865,3.99038662432475,2.0301309467371,7.90455367097578,305849.0,280936.8
breakMax_250_4,breakMax,918,2295,40,28,41,32.9202614379085,32.0,4.45536605026903,28,37,0,10,9.16122004357299,10.0,2.77204757335917,10,10,2295,204.6625,1.0,0.0,0.0,0.0,0,5,1,2.5,2.0,0.951721293488437,2.0,3.0,197,30,97.3006535947713,78.0,40.8971426151341,72.0,130.75,4,0,1.5,1.0,0.951721293488437,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,3,134,8.45,5.5,20.1580629029676,0,15,0.425,0.0,2.34400831909786,0.8125,48.3157894736842,3.10309642531102,1.9,7.26219225978668,1.0,34.0,2.4875,2.0,5.09225821713707,0.74535599249993,31.960588611237,2.2041650040432,1.43782602774021,4.77905953397412,400077.0,361004.4
breakMax_250_5,breakMax,814,2048,37,23,43,31.248046875,31.0,6.82996586267477,24,37,0,13,11.1154791154791,13.0,4.57682778074248,13,13,2048,162.463111760409,1.0,0.0,0.0,0.0,0,5,1,2.51597051597052,2.0,1.0274442800057,2.0,3.0,191,30,98.3267813267813,78.0,44.7195612669715,67.0,141.0,4,0,1.51597051597052,1.0,1.0274442800057,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,3,107,8.10810810810811,5.0,16.552592323771,0,2,0.135135135135135,0.0,0.413434014615631,1.14285714285714,42.8421052631579,3.01317821580979,1.84210526315789,6.65041177816286,1.0,33.0,2.54054054054054,2.0,5.10878731363168,0.848365005991527,28.8028930525988,2.16822581650206,1.39448855784124,4.45019217502327,357205.0,331818.4
breakMax_50_1,breakMax,156,389,45,25,51,34.5012853470437,33.0,8.43624957141344,26,42,0,10,9.16666666666667,10.0,2.76385399196283,10,10,389,192.671604938272,1.0,0.0,0.0,0.0,0,4,1,2.49358974358974,2.0,0.820387610638823,2.0,3.0,175,33,100.967948717949,80.0,39.9821145705906,68.0,140.0,3,0,1.49358974358974,1.0,0.820387610638823,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,26,2.31111111111111,2.0,3.64430894057035,0,2,0.177777777777778,0.0,0.436597393430856,0.25,9.75,0.862369297369297,0.583333333333333,1.38896996745842,0.0,8.5,0.622222222222222,0.0,1.30875494504236,0.0,7.42882897905181,0.731208134927562,0.610285981808395,1.0522072431764,63861.0,63577.8
breakMax_50_2,breakMax,161,333,60,22,56,38.033033033033,38.0,10.7645615654148,29,47,0,8,5.7639751552795,8.0,3.59004061976416,0,8,333,164.556660899654,1.0,0.0,0.0,0.0,0,4,1,2.06832298136646,2.0,0.878481351962094,1.0,3.0,167,34,87.2111801242236,79.0,37.3752849446564,55.0,135.0,3,0,1.06832298136646,1.0,0.878481351962094,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,26,1.75,1.0,3.20741328799392,0,4,0.5,0.0,0.763762615825973,0.125,8.94444444444444,0.871541783380019,0.5,1.22182509819844,0.0,8.0,0.708333333333333,0.25,1.20516826856483,0.0,5.87340732286183,0.430392735626077,0.455005760474105,0.751889733148662,64856.2,64490.8
breakMax_50_3,breakMax,150,302,18,27,51,35.4337748344371,33.0,7.81240639608852,27,42,0,14,10.64,14.0,5.97916382113753,14,14,302,216.981481481481,1.0,0.0,0.0,0.0,0,4,1,2.01333333333333,2.0,0.711680327737734,2.0,2.0,158,31,85.5266666666667,81.0,36.5742526315379,70.0,94.75,3,0,1.01333333333333,1.0,0.711680327737734,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,24,3.22222222222222,2.0,5.08325743719906,0,1,0.055555555555556,0.0,0.229061423645426,0.3,8.82352941176471,1.16976805873865,0.7,1.87044002721621,0.0,6.0,0.888888888888889,1.0,1.31820116863385,0.0,6.57298655476603,1.01519349695234,0.716833578144465,1.36661290273298,50487.0,50187.8
breakMax_50_4,breakMax,186,468,38,28,41,33.0619658119658,33.0,4.46046330415575,28,37,0,10,9.40860215053763,10.0,2.35886139446025,10,10,468,183.33625,1.0,0.0,0.0,0.0,0,5,1,2.51612903225806,2.0,0.968458516060017,2.0,3.0,198,30,98.3494623655914,78.0,42.5379201448376,71.25,118.75,4,0,1.51612903225806,1.0,0.968458516060017,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,24,2.47368421052632,2.0,3.639959818353,0,2,0.157894736842105,0.0,0.488085183973458,0.333333333333333,9.78947368421053,0.897893817207,0.666666666666667,1.49342901577801,0.0,8.0,0.697368421052632,0.5,1.31058179971325,0.0,5.77270298239843,0.760773519042915,0.616854970869009,0.863452098453413,64775.4,64781.0
breakMax_50_5,breakMax,160,386,36,23,43,31.8471502590674,32.0,6.8412763302737,25,38,0,13,11.2125,13.0,4.47686762703567,13,13,386,161.084002921841,1.0,0.0,0.0,0.0,0,4,1,2.4125,2.0,0.924577606261367,2.0,3.0,179,36,95.19375,82.5,39.9071573898405,67.5,132.0,3,0,1.4125,1.0,0.924577606261367,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,19,2.38888888888889,2.0,2.92762491694564,0,1,0.083333333333333,0.0,0.276385399196283,0.1875,8.88888888888889,0.82418666477619,0.5,1.40268471848681,0.0,8.0,0.527777777777778,0.0,1.33824327449399,0.0,5.09780877642421,0.791258029586487,0.621749294476639,0.770197648847779,49457.0,49438.0
distanceAvailability_100_2,distanceAvailability,319,619,18,23,40,30.18901453958,30.0,5.76587998920107,24,35,0,57,21.4200626959248,22.0,18.1791598964728,0,36,619,216.512345679012,1.0,0.0,0.0,0.0,0,4,1,1.94043887147335,2.0,0.799428358771915,1.0,3.0,189,23,88.6645768025078,86.0,49.2952562374599,37.0,135.5,3,0,0.940438871473354,1.0,0.799428358771915,0.0,2.0,3,0,0.893416927899687,1.0,0.78858664005108,0.0,1.0,0,0,0.0,0,0.0,0,0,2,44,5.33333333333333,2.5,9.45750730607407,0,2,0.111111111111111,0.0,0.458122847290851,0.4375,16.7894736842105,1.93533133151296,0.942434210526316,3.63495932084254,0.0,12.0,1.69444444444444,1.0,2.54481438358745,0.570315277343098,11.3720754360403,1.52359450603676,0.860364484197633,2.40895924766994,128632.0,127538.0
distanceAvailability_100_3,distanceAvailability,271,552,30,18,50,30.1992753623188,30.0,9.76648362377427,21,38,0,33,15.4317343173432,16.0,10.242536133138,9,23,552,157.402222222222,1.0,0.0,0.0,0.0,0,4,1,2.03690036900369,2.0,0.717804659234706,2.0,2.0,160,30,81.8487084870849,72.0,36.702393270245,61.0,112.0,3,0,1.03690036900369,1.0,0.717804659234706,1.0,1.0,2,0,0.734317343173432,1.0,0.678806334321294,0.0,1.0,0,0,0.0,0,0.0,0,0,1,49,4.16666666666667,2.0,8.41460370757623,0,1,0.033333333333333,0.0,0.17950549357115,0.266666666666667,15.9411764705882,1.27616975344917,0.8,2.7372548779018,0.0,9.0,0.816666666666667,0.75,1.58893745069535,0.497929597731969,13.691863570299,1.30480887431226,0.822491737166517,2.31879780743796,99278.6,98911.6
distanceAvailability_100_4,distanceAvailability,359,643,56,18,46,29.2239502332815,29.0,8.65583085115498,21,36,0,60,15.9136490250696,9.0,18.3813156860534,0,28,643,205.46875,1.0,0.0,0.0,0.0,0,5,1,1.79108635097493,2.0,0.752584176291419,1.0,2.0,184,18,72.4011142061281,66.0,39.5858166390613,38.0,95.5,4,0,0.79108635097493,1.0,0.752584176291419,0.0,1.0,3,0,0.515320334261838,0.0,0.658490165834059,0.0,1.0,0,0,0.0,0,0.0,0,0,1,59,2.73214285714286,2.0,7.62629631001597,0,3,0.160714285714286,0.0,0.527012662977632,0.153846153846154,18.8947368421053,0.910957051358146,0.5,2.44528014993784,0.0,9.0,0.553571428571429,0.0,1.25242112464993,0.0,15.9930732928915,0.836224163146654,0.568436500537815,2.05593683081751,109196.4,105164.8
distanceAvailability_100_5,distanceAvailability,323,667,88,16,56,33.1664167916042,32.0,12.1516237854818,23,43,0,45,15.71826625387,12.0,14.2095509489426,0,28,667,121.74326772129,0.857571214392804,0.142428785607196,0.0,0.0,0,4,1,2.06501547987616,2.0,0.843174516938364,1.0,3.0,170,18,91.7275541795666,81.0,43.5371811764606,54.0,138.0,3,0,1.06501547987616,1.0,0.843174516938364,0.0,2.0,3,0,0.690402476780186,1.0,0.736152342554837,0.0,1.0,0,0,0.0,0,0.0,0,0,1,36,1.89772727272727,1.0,3.71128430578245,0,3,0.306818181818182,0.0,0.645930522323742,0.142857142857143,19.0,0.853284453217608,0.5,2.00332574350956,0.0,16.0,0.670454545454545,0.0,1.75952983718205,0.0,10.0644978835041,0.568592791216916,0.487010433416281,1.05451223741102,111041.8,109627.6
distanceAvailability_150_1,distanceAvailability,552,1145,51,18,50,31.1799126637555,31.0,10.1562869290165,21,40,0,43,19.5507246376812,21.0,13.9498701171909,0,31,1145,95.6870434448289,1.0,0.0,0.0,0.0,0,4,1,2.07427536231884,2.0,0.809762344524846,1.0,3.0,178,18,92.6902173913043,88.0,43.1574893825836,50.0,137.0,3,0,1.07427536231884,1.0,0.809762344524846,0.0,2.0,3,0,0.938405797101449,1.0,0.768380799291612,0.0,1.0,0,0,0.0,0,0.0,0,0,1,70,3.7843137254902,2.0,9.39610625548271,0,11,0.215686274509804,0.0,1.52513227314746,0.266666666666667,29.0526315789474,1.30592920749768,0.75,3.93451613523522,0.0,26.0,1.08823529411765,1.0,3.55586491829846,0.442216638714053,14.5836017651064,1.06131697952855,0.805536398239638,1.92116428667521,176668.8,170033.0
distanceAvailability_150_2,distanceAvailability,540,1113,18,23,40,30.1913746630728,30.0,5.66306400964421,24,35,0,57,24.5462962962963,25.0,17.9560081037885,0,40,1113,197.33950617284,1.0,0.0,0.0,0.0,0,4,1,2.06111111111111,2.0,0.770982217853897,1.0,3.0,184,23,95.912962962963,97.5,44.9511856486662,40.0,137.0,3,0,1.06111111111111,1.0,0.770982217853897,0.0,2.0,3,0,1.0,1.0,0.747836385353948,0.0,2.0,0,0,0.0,0,0.0,0,0,3,64,7.94444444444444,4.0,13.6401051731943,0,5,0.444444444444444,0.0,1.1653431646335,1.11764705882353,28.4210526315789,3.41846333562665,2.02631578947368,6.08794871133263,1.0,27.0,3.08333333333333,2.0,5.8315473456403,0.962982679043818,16.5061895550975,2.11358531788495,1.2115745559619,3.49933072892551,184149.6,176328.6
distanceAvailability_150_3,distanceAvailability,513,1067,30,18,50,30.7656982193065,30.0,10.2854946749016,21,39,0,33,15.2514619883041,16.0,10.6282716695286,9,24,1067,172.497777777778,1.0,0.0,0.0,0.0,0,5,1,2.07992202729045,2.0,0.823300064295864,2.0,3.0,173,30,85.541910331384,75.0,40.3594799240829,58.0,132.0,4,0,1.07992202729045,1.0,0.823300064295864,1.0,2.0,3,0,0.764132553606238,1.0,0.749866835463849,0.0,1.0,0,0,0.0,0,0.0,0,0,1,78,6.46666666666667,4.0,13.3484913837565,0,7,0.233333333333333,0.0,1.25653845499805,0.545454545454545,30.1764705882353,2.26422308084073,1.225,5.20093977326749,0.0,18.0,1.73333333333333,1.0,3.05159339070955,0.497929597731969,21.7045272970943,1.84550132275407,1.15085202539808,3.70001791131574,163951.4,161367.0
distanceAvailability_150_4,distanceAvailability,505,941,56,18,46,29.9468650371945,30.0,8.906250611163,22,37,0,60,16.2534653465347,9.0,18.0619153198402,0,29,941,211.893494897959,1.0,0.0,0.0,0.0,0,5,1,1.86336633663366,2.0,0.824827947529176,1.0,2.0,191,18,77.0871287128713,68.0,43.2332876504048,40.0,98.0,4,0,0.863366336633663,1.0,0.824827947529176,0.0,1.0,3,0,0.564356435643564,0.0,0.68960946882151,0.0,1.0,0,0,0.0,0,0.0,0,0,1,62,3.08928571428571,2.0,7.97154937824485,0,2,0.089285714285714,0.0,0.3420936439405,0.222222222222222,26.5789473684211,1.09837495550606,0.625,3.44302780215092,0.0,18.0,0.776785714285714,0.5,2.36967380752745,0.0,21.0345975390262,1.03809778266512,0.683526769707657,2.7032287293035,186550.2,181364.0
distanceAvailability_150_5,distanceAvailability,501,995,87,16,56,33.7165829145729,33.0,12.7273723295101,22,44,0,45,15.7005988023952,12.0,14.494757109844,0,28,995,131.09068953025,0.87537688442211,0.124623115577889,0.0,0.0,0,4,1,1.98602794411178,2.0,0.80032702349009,1.0,3.0,172,21,88.6327345309381,77.0,41.5235888315122,54.0,136.0,3,0,0.986027944111776,1.0,0.80032702349009,0.0,2.0,3,0,0.640718562874252,1.0,0.719460517167693,0.0,1.0,0,0,0.0,0,0.0,0,0,1,58,2.51724137931034,2.0,6.02649717929751,0,2,0.149425287356322,0.0,0.416022093582847,0.142857142857143,27.8333333333333,0.997207820914717,0.571428571428571,2.92141971990206,0.0,21.0,0.718390804597701,0.0,2.26505328326011,0.0,18.010028070803,0.82183829786658,0.624926031125843,1.87244169454123,161517.8,160680.4
